Repository,Release Tag,Commit SHA,Refactoring name,Refactoring information, Metric,Metric full name,Affected code structure,Code structure name,Value before,Value after
https://github.com/google/guava,v29.0,9aaeb95faee253d0742003bab6f1365f27f6aba9,Push Down Method,"Push Down Method	package writeReplace() : Object from class com.google.common.collect.ImmutableMultiset to package writeReplace() : Object from class com.google.common.collect.RegularImmutableMultiset",MHF,Method Hiding Factor,Class,ImmutableMultiset,0.696969697,0.741935484
https://github.com/google/guava,v29.0,9aaeb95faee253d0742003bab6f1365f27f6aba9,Push Down Method,"Push Down Method	package writeReplace() : Object from class com.google.common.collect.ImmutableMultiset to package writeReplace() : Object from class com.google.common.collect.RegularImmutableMultiset",RFC,Response For a Class,Class,ImmutableMultiset,33,31
https://github.com/google/guava,v29.0,9aaeb95faee253d0742003bab6f1365f27f6aba9,Push Down Method,"Push Down Method	package writeReplace() : Object from class com.google.common.collect.ImmutableMultiset to package writeReplace() : Object from class com.google.common.collect.RegularImmutableMultiset",AIF,Attribute Inheritance Factor,Class,ImmutableMultiset,0,0
https://github.com/google/guava,v29.0,9aaeb95faee253d0742003bab6f1365f27f6aba9,Push Down Method,"Push Down Method	package writeReplace() : Object from class com.google.common.collect.ImmutableMultiset to package writeReplace() : Object from class com.google.common.collect.RegularImmutableMultiset",MIF,Method Inheritance Factor,Class,ImmutableMultiset,0,0
https://github.com/google/guava,v29.0,9aaeb95faee253d0742003bab6f1365f27f6aba9,Push Down Method,"Push Down Method	package writeReplace() : Object from class com.google.common.collect.ImmutableMultiset to package writeReplace() : Object from class com.google.common.collect.RegularImmutableMultiset",TLOC,Total Lines of Code,Class,ImmutableMultiset,248,223
https://github.com/google/guava,v29.0,9aaeb95faee253d0742003bab6f1365f27f6aba9,Push Down Method,"Push Down Method	package writeReplace() : Object from class com.google.common.collect.ImmutableMultiset to package writeReplace() : Object from class com.google.common.collect.RegularImmutableMultiset",WMC,Weighted methods per Class,Class,ImmutableMultiset,42,41
https://github.com/google/guava,v29.0,9aaeb95faee253d0742003bab6f1365f27f6aba9,Push Down Method,"Push Down Method	package writeReplace() : Object from class com.google.common.collect.ImmutableMultiset to package writeReplace() : Object from class com.google.common.collect.RegularImmutableMultiset",LCOM*,Lack of Cohesion Methods (H-S),Class,ImmutableMultiset,1,1
https://github.com/google/guava,v29.0,9aaeb95faee253d0742003bab6f1365f27f6aba9,Push Down Method,"Push Down Method	package writeReplace() : Object from class com.google.common.collect.ImmutableMultiset to package writeReplace() : Object from class com.google.common.collect.RegularImmutableMultiset",AHF,Attribute Hiding Factor,Class,ImmutableMultiset,0,0
https://github.com/google/guava,v29.0,9aaeb95faee253d0742003bab6f1365f27f6aba9,Push Down Method_AFTER,"Push Down Method	package writeReplace() : Object from class com.google.common.collect.ImmutableMultiset to package writeReplace() : Object from class com.google.common.collect.RegularImmutableMultiset",MHF,Method Hiding Factor,Class,RegularImmutableMultiset,0.5,0.375
https://github.com/google/guava,v29.0,9aaeb95faee253d0742003bab6f1365f27f6aba9,Push Down Method_AFTER,"Push Down Method	package writeReplace() : Object from class com.google.common.collect.ImmutableMultiset to package writeReplace() : Object from class com.google.common.collect.RegularImmutableMultiset",RFC,Response For a Class,Class,RegularImmutableMultiset,6,8
