Repository,Release Tag,Commit SHA,Refactoring name,Refactoring information, Metric,Metric full name,Affected code structure,Code structure name,Value before,Value after
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,MHF,Method Hiding Factor,Class,PhotoEditor,0.529411765,-
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,RFC,Response For a Class,Class,PhotoEditor,17,-
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,AIF,Attribute Inheritance Factor,Class,PhotoEditor,0.0,-
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,TLOC,Total Lines of Code,Class,PhotoEditor,195,-
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,MIF,Method Inheritance Factor,Class,PhotoEditor,0.0,-
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,WMC,Weighted methods per Class,Class,PhotoEditor,33,-
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,LCOM*,Lack of Cohesion Methods (H-S),Class,PhotoEditor,0.931547619,-
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,AHF,Attribute Hiding Factor,Class,PhotoEditor,0.761904762,-
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method_AFTER,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,MHF,Method Hiding Factor,Class,ImageEditor,-,0.5
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method_AFTER,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,RFC,Response For a Class,Class,ImageEditor,-,16
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method_AFTER,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,AIF,Attribute Inheritance Factor,Class,ImageEditor,-,0.0
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method_AFTER,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,TLOC,Total Lines of Code,Class,ImageEditor,-,181
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method_AFTER,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,MIF,Method Inheritance Factor,Class,ImageEditor,-,0.0
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method_AFTER,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,WMC,Weighted methods per Class,Class,ImageEditor,-,31
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method_AFTER,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,LCOM*,Lack of Cohesion Methods (H-S),Class,ImageEditor,-,0.904166667
https://github.com/Swati4star/Images-to-PDF,8.8.1,f68499f56191d376c00cfedece50e479e2dcf0f5,Inline Method_AFTER,Inline Method	public savelastfew() : void inlined to public done() : void in class swati4star.createpdf.activity.ImageEditor,AHF,Attribute Hiding Factor,Class,ImageEditor,-,0.8125
