Repository,Release Tag,Commit SHA,Refactoring name,Refactoring information, Metric,Metric full name,Affected code structure,Code structure name,Value before,Value after
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",MHF,Method Hiding Factor,Class,LoopController,0.5,0.526315789
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",RFC,Response For a Class,Class,LoopController,18,19
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",AIF,Attribute Inheritance Factor,Class,LoopController,0,0
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",TLOC,Total Lines of Code,Class,LoopController,100,100
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",MIF,Method Inheritance Factor,Class,LoopController,0,0
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",WMC,Weighted methods per Class,Class,LoopController,27,27
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",LCOM*,Lack of Cohesion Methods (H-S),Class,LoopController,0.915966387,0.920634921
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",AHF,Attribute Hiding Factor,Class,LoopController,0.428571429,0.285714286
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute_AFTER,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",MHF,Method Hiding Factor,Class,IteratingController,-,0
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute_AFTER,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",RFC,Response For a Class,Class,IteratingController,-,1
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute_AFTER,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",AIF,Attribute Inheritance Factor,Class,IteratingController,-,0
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute_AFTER,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",TLOC,Total Lines of Code,Class,IteratingController,-,11
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute_AFTER,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",MIF,Method Inheritance Factor,Class,IteratingController,-,0
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute_AFTER,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",WMC,Weighted methods per Class,Class,IteratingController,-,4
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute_AFTER,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",LCOM*,Lack of Cohesion Methods (H-S),Class,IteratingController,-,1
https://github.com/apache/jmeter,rel/v5.2.1,b23095471c5a429c87175f2e15739a47b218e496,Pull Up Attribute_AFTER,"Pull Up Attribute	package INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.LoopController to public INDEX_VAR_NAME_SUFFIX : String from class org.apache.jmeter.control.IteratingController",AHF,Attribute Hiding Factor,Class,IteratingController,-,1
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",MHF,Method Hiding Factor,Class,RandomTimer,0.833333333,0.8
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",RFC,Response For a Class,Class,RandomTimer,6,5
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",AIF,Attribute Inheritance Factor,Class,RandomTimer,0,0
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",TLOC,Total Lines of Code,Class,RandomTimer,21,18
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",MIF,Method Inheritance Factor,Class,RandomTimer,0,0
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",WMC,Weighted methods per Class,Class,RandomTimer,6,5
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",LCOM*,Lack of Cohesion Methods (H-S),Class,RandomTimer,0.9,0.875
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",AHF,Attribute Hiding Factor,Class,RandomTimer,0.5,0.5
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method_AFTER,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",RFC,Response For a Class,Class,ModifiableTimer,0,1
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method_AFTER,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",TLOC,Total Lines of Code,Class,ModifiableTimer,3,5
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method_AFTER,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",WMC,Weighted methods per Class,Class,ModifiableTimer,1,1
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method_AFTER,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",LCOM*,Lack of Cohesion Methods (H-S),Class,ModifiableTimer,-,-
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method_AFTER,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",MHF,Method Hiding Factor,Class,ModifiableTimer,-,0
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method_AFTER,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",AIF,Attribute Inheritance Factor,Class,ModifiableTimer,-,-
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method_AFTER,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",AHF,Attribute Hiding Factor,Class,ModifiableTimer,-,-
https://github.com/apache/jmeter,rel/v5.2.1,0f8c47aa9fcc0f214a4cec5ee42d5259848773e8,Pull Up Method_AFTER,"Pull Up Method	public isModifiable() : boolean from class org.apache.jmeter.timers.RandomTimer to public isModifiable() : boolean from class org.apache.jmeter.timers.ModifiableTimer",MIF,Method Inheritance Factor,Class,ModifiableTimer,-,0
https://github.com/apache/jmeter,rel/v5.2.1,cbc5caca7e8d05d6ec7d8c31a2265de80fcce3f6,Pull Up Method,"Pull Up Method	public searchContent(textToSearch String) : boolean from class org.apache.jmeter.extractor.BeanShellPostProcessor to public searchContent(textToSearch String) : boolean from class org.apache.jmeter.testelement.AbstractTestElement",MHF,Method Hiding Factor,Class,BeanShellPostProcessor,0.666666667,0.5
