Repository,Release Tag,Commit SHA,Refactoring name,Refactoring information, Metric,Metric full name,Affected code structure,Code structure name,Value before,Value after
https://github.com/junit-team/junit5,r5.6.2,3b45f638f0a02da77a3c98ffdc0027e148ee4d57,Pull Up Method,Pull Up Method	public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.NotFilterableRunner to public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.ConfigurableRunner,MHF,Method Hiding Factor,Class,NotFilterableRunner,1.0,1.0
https://github.com/junit-team/junit5,r5.6.2,3b45f638f0a02da77a3c98ffdc0027e148ee4d57,Pull Up Method,Pull Up Method	public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.NotFilterableRunner to public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.ConfigurableRunner,RFC,Response For a Class,Class,NotFilterableRunner,2,1
https://github.com/junit-team/junit5,r5.6.2,3b45f638f0a02da77a3c98ffdc0027e148ee4d57,Pull Up Method,Pull Up Method	public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.NotFilterableRunner to public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.ConfigurableRunner,TLOC,Total Lines of Code,Class,NotFilterableRunner,8,5
https://github.com/junit-team/junit5,r5.6.2,3b45f638f0a02da77a3c98ffdc0027e148ee4d57,Pull Up Method,Pull Up Method	public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.NotFilterableRunner to public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.ConfigurableRunner,MIF,Method Inheritance Factor,Class,NotFilterableRunner,0.0,0.0
https://github.com/junit-team/junit5,r5.6.2,3b45f638f0a02da77a3c98ffdc0027e148ee4d57,Pull Up Method,Pull Up Method	public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.NotFilterableRunner to public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.ConfigurableRunner,WMC,Weighted methods per Class,Class,NotFilterableRunner,2,1
https://github.com/junit-team/junit5,r5.6.2,3b45f638f0a02da77a3c98ffdc0027e148ee4d57,Pull Up Method,Pull Up Method	public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.NotFilterableRunner to public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.ConfigurableRunner,LCOM*,Lack of Cohesion Methods (H-S),Class,NotFilterableRunner,-,-
https://github.com/junit-team/junit5,r5.6.2,3b45f638f0a02da77a3c98ffdc0027e148ee4d57,Pull Up Method,Pull Up Method	public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.NotFilterableRunner to public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.ConfigurableRunner,AIF,Attribute Inheritance Factor,Class,NotFilterableRunner,-,-
https://github.com/junit-team/junit5,r5.6.2,3b45f638f0a02da77a3c98ffdc0027e148ee4d57,Pull Up Method,Pull Up Method	public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.NotFilterableRunner to public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.ConfigurableRunner,AHF,Attribute Hiding Factor,Class,NotFilterableRunner,-,-
https://github.com/junit-team/junit5,r5.6.2,3b45f638f0a02da77a3c98ffdc0027e148ee4d57,Pull Up Method_AFTER,Pull Up Method	public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.NotFilterableRunner to public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.ConfigurableRunner,MHF,Method Hiding Factor,Class,ConfigurableRunner,0.5,0.666666667
https://github.com/junit-team/junit5,r5.6.2,3b45f638f0a02da77a3c98ffdc0027e148ee4d57,Pull Up Method_AFTER,Pull Up Method	public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.NotFilterableRunner to public run(notifier RunNotifier) : void from class org.junit.vintage.engine.samples.junit4.ConfigurableRunner,RFC,Response For a Class,Class,ConfigurableRunner,2,3
