Repository,Release Tag,Commit SHA,Refactoring name,Refactoring information, Metric,Metric full name,Affected code structure,Code structure name,Value before,Value after
https://github.com/apache/logging-log4j2,log4j-2.1-log4j-2.4,9a7859e93275b5da475856799af2ff48517ca132,Pull Up Method,Pull Up Method	private toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.PatternLayout to package toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.AbstractStringLayout,MHF,Method Hiding Factor,Class,PatternLayout,0.714285714,0.769230769
https://github.com/apache/logging-log4j2,log4j-2.1-log4j-2.4,9a7859e93275b5da475856799af2ff48517ca132,Pull Up Method,Pull Up Method	private toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.PatternLayout to package toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.AbstractStringLayout,RFC,Response For a Class,Class,PatternLayout,14,13
https://github.com/apache/logging-log4j2,log4j-2.1-log4j-2.4,9a7859e93275b5da475856799af2ff48517ca132,Pull Up Method,Pull Up Method	private toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.PatternLayout to package toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.AbstractStringLayout,AIF,Attribute Inheritance Factor,Class,PatternLayout,0.0,0.0
https://github.com/apache/logging-log4j2,log4j-2.1-log4j-2.4,9a7859e93275b5da475856799af2ff48517ca132,Pull Up Method,Pull Up Method	private toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.PatternLayout to package toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.AbstractStringLayout,MIF,Method Inheritance Factor,Class,PatternLayout,0.0,0.0
https://github.com/apache/logging-log4j2,log4j-2.1-log4j-2.4,9a7859e93275b5da475856799af2ff48517ca132,Pull Up Method,Pull Up Method	private toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.PatternLayout to package toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.AbstractStringLayout,TLOC,Total Lines of Code,Class,PatternLayout,140,134
https://github.com/apache/logging-log4j2,log4j-2.1-log4j-2.4,9a7859e93275b5da475856799af2ff48517ca132,Pull Up Method,Pull Up Method	private toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.PatternLayout to package toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.AbstractStringLayout,WMC,Weighted methods per Class,Class,PatternLayout,22,19
https://github.com/apache/logging-log4j2,log4j-2.1-log4j-2.4,9a7859e93275b5da475856799af2ff48517ca132,Pull Up Method,Pull Up Method	private toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.PatternLayout to package toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.AbstractStringLayout,LCOM*,Lack of Cohesion Methods (H-S),Class,PatternLayout,0.979020979,0.977272727
https://github.com/apache/logging-log4j2,log4j-2.1-log4j-2.4,9a7859e93275b5da475856799af2ff48517ca132,Pull Up Method,Pull Up Method	private toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.PatternLayout to package toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.AbstractStringLayout,AHF,Attribute Hiding Factor,Class,PatternLayout,0.363636364,0.363636364
https://github.com/apache/logging-log4j2,log4j-2.1-log4j-2.4,9a7859e93275b5da475856799af2ff48517ca132,Pull Up Method_AFTER,Pull Up Method	private toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.PatternLayout to package toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.AbstractStringLayout,MHF,Method Hiding Factor,Class,AbstractStringLayout,0.333333333,0.285714286
https://github.com/apache/logging-log4j2,log4j-2.1-log4j-2.4,9a7859e93275b5da475856799af2ff48517ca132,Pull Up Method_AFTER,Pull Up Method	private toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.PatternLayout to package toBytes(str String| charset Charset) : byte[] from class org.apache.logging.log4j.core.layout.AbstractStringLayout,RFC,Response For a Class,Class,AbstractStringLayout,6,7
