Repository,Release Tag,Commit SHA,Refactoring name,Refactoring information, Metric,Metric full name,Affected code structure,Code structure name,Value before,Value after
https://github.com/mockito/mockito,v3.0.0,0f191f1ab1ea7c390525414cba8252062dc58371,Pull Up Method,"Pull Up Method	public run(notifier RunNotifier) : void from class org.mockito.runners.MockitoJUnit44Runner to public run(notifier RunNotifier) : void from class org.mockito.internal.runners.MockitoJUnit44RunnerImpl",MHF,Method Hiding Factor,Class,MockitoJUnit44Runner,1,1
https://github.com/mockito/mockito,v3.0.0,0f191f1ab1ea7c390525414cba8252062dc58371,Pull Up Method,"Pull Up Method	public run(notifier RunNotifier) : void from class org.mockito.runners.MockitoJUnit44Runner to public run(notifier RunNotifier) : void from class org.mockito.internal.runners.MockitoJUnit44RunnerImpl",RFC,Response For a Class,Class,MockitoJUnit44Runner,3,1
https://github.com/mockito/mockito,v3.0.0,0f191f1ab1ea7c390525414cba8252062dc58371,Pull Up Method,"Pull Up Method	public run(notifier RunNotifier) : void from class org.mockito.runners.MockitoJUnit44Runner to public run(notifier RunNotifier) : void from class org.mockito.internal.runners.MockitoJUnit44RunnerImpl",AIF,Attribute Inheritance Factor,Class,MockitoJUnit44Runner,0,-
https://github.com/mockito/mockito,v3.0.0,0f191f1ab1ea7c390525414cba8252062dc58371,Pull Up Method,"Pull Up Method	public run(notifier RunNotifier) : void from class org.mockito.runners.MockitoJUnit44Runner to public run(notifier RunNotifier) : void from class org.mockito.internal.runners.MockitoJUnit44RunnerImpl",TLOC,Total Lines of Code,Class,MockitoJUnit44Runner,13,5
https://github.com/mockito/mockito,v3.0.0,0f191f1ab1ea7c390525414cba8252062dc58371,Pull Up Method,"Pull Up Method	public run(notifier RunNotifier) : void from class org.mockito.runners.MockitoJUnit44Runner to public run(notifier RunNotifier) : void from class org.mockito.internal.runners.MockitoJUnit44RunnerImpl",MIF,Method Inheritance Factor,Class,MockitoJUnit44Runner,0,0
https://github.com/mockito/mockito,v3.0.0,0f191f1ab1ea7c390525414cba8252062dc58371,Pull Up Method,"Pull Up Method	public run(notifier RunNotifier) : void from class org.mockito.runners.MockitoJUnit44Runner to public run(notifier RunNotifier) : void from class org.mockito.internal.runners.MockitoJUnit44RunnerImpl",WMC,Weighted methods per Class,Class,MockitoJUnit44Runner,3,1
https://github.com/mockito/mockito,v3.0.0,0f191f1ab1ea7c390525414cba8252062dc58371,Pull Up Method,"Pull Up Method	public run(notifier RunNotifier) : void from class org.mockito.runners.MockitoJUnit44Runner to public run(notifier RunNotifier) : void from class org.mockito.internal.runners.MockitoJUnit44RunnerImpl",LCOM*,Lack of Cohesion Methods (H-S),Class,MockitoJUnit44Runner,0,-
https://github.com/mockito/mockito,v3.0.0,0f191f1ab1ea7c390525414cba8252062dc58371,Pull Up Method,"Pull Up Method	public run(notifier RunNotifier) : void from class org.mockito.runners.MockitoJUnit44Runner to public run(notifier RunNotifier) : void from class org.mockito.internal.runners.MockitoJUnit44RunnerImpl",AHF,Attribute Hiding Factor,Class,MockitoJUnit44Runner,0,-
https://github.com/mockito/mockito,v3.0.0,0f191f1ab1ea7c390525414cba8252062dc58371,Pull Up Method_AFTER,"Pull Up Method	public run(notifier RunNotifier) : void from class org.mockito.runners.MockitoJUnit44Runner to public run(notifier RunNotifier) : void from class org.mockito.internal.runners.MockitoJUnit44RunnerImpl",MHF,Method Hiding Factor,Class,MockitoJUnit44RunnerImpl,-,0.666666667
https://github.com/mockito/mockito,v3.0.0,0f191f1ab1ea7c390525414cba8252062dc58371,Pull Up Method_AFTER,"Pull Up Method	public run(notifier RunNotifier) : void from class org.mockito.runners.MockitoJUnit44Runner to public run(notifier RunNotifier) : void from class org.mockito.internal.runners.MockitoJUnit44RunnerImpl",RFC,Response For a Class,Class,MockitoJUnit44RunnerImpl,-,3
