Repository,Release Tag,Commit SHA,Refactoring name,Refactoring information, Metric,Metric full name,Affected code structure,Code structure name,Value before,Value after
https://github.com/spring-projects/spring-boot,v2.1.9.RELEASE-v2.2.6.RELEASE,3fa9e037fa61bb3f3694e60197f181501cb7ead0,Pull Up Method,"Pull Up Method	package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.embedded.netty.NettyReactiveWebServerFactoryTests to package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.reactive.server.AbstractReactiveWebServerFactoryTests",MHF,Method Hiding Factor,Class,NettyReactiveWebServerFactoryTests,0,0
https://github.com/spring-projects/spring-boot,v2.1.9.RELEASE-v2.2.6.RELEASE,3fa9e037fa61bb3f3694e60197f181501cb7ead0,Pull Up Method,"Pull Up Method	package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.embedded.netty.NettyReactiveWebServerFactoryTests to package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.reactive.server.AbstractReactiveWebServerFactoryTests",RFC,Response For a Class,Class,NettyReactiveWebServerFactoryTests,6,5
https://github.com/spring-projects/spring-boot,v2.1.9.RELEASE-v2.2.6.RELEASE,3fa9e037fa61bb3f3694e60197f181501cb7ead0,Pull Up Method,"Pull Up Method	package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.embedded.netty.NettyReactiveWebServerFactoryTests to package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.reactive.server.AbstractReactiveWebServerFactoryTests",TLOC,Total Lines of Code,Class,NettyReactiveWebServerFactoryTests,43,35
https://github.com/spring-projects/spring-boot,v2.1.9.RELEASE-v2.2.6.RELEASE,3fa9e037fa61bb3f3694e60197f181501cb7ead0,Pull Up Method,"Pull Up Method	package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.embedded.netty.NettyReactiveWebServerFactoryTests to package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.reactive.server.AbstractReactiveWebServerFactoryTests",MIF,Method Inheritance Factor,Class,NettyReactiveWebServerFactoryTests,0,0
https://github.com/spring-projects/spring-boot,v2.1.9.RELEASE-v2.2.6.RELEASE,3fa9e037fa61bb3f3694e60197f181501cb7ead0,Pull Up Method,"Pull Up Method	package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.embedded.netty.NettyReactiveWebServerFactoryTests to package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.reactive.server.AbstractReactiveWebServerFactoryTests",WMC,Weighted methods per Class,Class,NettyReactiveWebServerFactoryTests,7,6
https://github.com/spring-projects/spring-boot,v2.1.9.RELEASE-v2.2.6.RELEASE,3fa9e037fa61bb3f3694e60197f181501cb7ead0,Pull Up Method,"Pull Up Method	package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.embedded.netty.NettyReactiveWebServerFactoryTests to package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.reactive.server.AbstractReactiveWebServerFactoryTests",LCOM*,Lack of Cohesion Methods (H-S),Class,NettyReactiveWebServerFactoryTests,-,-
https://github.com/spring-projects/spring-boot,v2.1.9.RELEASE-v2.2.6.RELEASE,3fa9e037fa61bb3f3694e60197f181501cb7ead0,Pull Up Method,"Pull Up Method	package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.embedded.netty.NettyReactiveWebServerFactoryTests to package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.reactive.server.AbstractReactiveWebServerFactoryTests",AIF,Attribute Inheritance Factor,Class,NettyReactiveWebServerFactoryTests,-,-
https://github.com/spring-projects/spring-boot,v2.1.9.RELEASE-v2.2.6.RELEASE,3fa9e037fa61bb3f3694e60197f181501cb7ead0,Pull Up Method,"Pull Up Method	package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.embedded.netty.NettyReactiveWebServerFactoryTests to package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.reactive.server.AbstractReactiveWebServerFactoryTests",AHF,Attribute Hiding Factor,Class,NettyReactiveWebServerFactoryTests,-,-
https://github.com/spring-projects/spring-boot,v2.1.9.RELEASE-v2.2.6.RELEASE,3fa9e037fa61bb3f3694e60197f181501cb7ead0,Pull Up Method_AFTER,"Pull Up Method	package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.embedded.netty.NettyReactiveWebServerFactoryTests to package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.reactive.server.AbstractReactiveWebServerFactoryTests",MHF,Method Hiding Factor,Class,AbstractReactiveWebServerFactoryTests,0.034482759,0.033333333
https://github.com/spring-projects/spring-boot,v2.1.9.RELEASE-v2.2.6.RELEASE,3fa9e037fa61bb3f3694e60197f181501cb7ead0,Pull Up Method_AFTER,"Pull Up Method	package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.embedded.netty.NettyReactiveWebServerFactoryTests to package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.reactive.server.AbstractReactiveWebServerFactoryTests",RFC,Response For a Class,Class,AbstractReactiveWebServerFactoryTests,32,33
https://github.com/spring-projects/spring-boot,v2.1.9.RELEASE-v2.2.6.RELEASE,3fa9e037fa61bb3f3694e60197f181501cb7ead0,Pull Up Method_AFTER,"Pull Up Method	package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.embedded.netty.NettyReactiveWebServerFactoryTests to package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.reactive.server.AbstractReactiveWebServerFactoryTests",AIF,Attribute Inheritance Factor,Class,AbstractReactiveWebServerFactoryTests,0,0
https://github.com/spring-projects/spring-boot,v2.1.9.RELEASE-v2.2.6.RELEASE,3fa9e037fa61bb3f3694e60197f181501cb7ead0,Pull Up Method_AFTER,"Pull Up Method	package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.embedded.netty.NettyReactiveWebServerFactoryTests to package noCompressionForResponseWithInvalidContentType() : void from class org.springframework.boot.web.reactive.server.AbstractReactiveWebServerFactoryTests",MIF,Method Inheritance Factor,Class,AbstractReactiveWebServerFactoryTests,0,0
